threads, totalFails
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 1
2, 0
2, 0
2, 0
2, 0
2, 1
2, 0
2, 0
2, 0
2, 0
2, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 1
8, 0
8, 0
8, 0
8, 1
8, 1
8, 0
8, 1
8, 1
8, 0
8, 0
16, 0
16, 
16, 0
16, 0
16, 1
16, 0
16, 0
16, 0
16, 1
16, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
64, 2
64, 1
64, 0
64, 0
64, 2
64, 1
64, 0
64, 1
64, 0
64, 3
128, 0
128, 0
128, 3
128, 3
128, 0
128, 1
128, 0
128, 1
128, 1
128, 1
256, 0
256, 2
256, 0
256, 1
256, 1
256, 0
256, 4
256, 1
256, 0
256, 0
512, 3
512, 1
512, 0
512, 2
512, 0
512, 2
512, 2
512, 0
512, 2
512, 2
1024, 1
1024, 2
1024, 0
1024, 1
1024, 0
1024, 3
1024, 2
1024, 0
1024, 0
1024, 2
